"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"acc1",0.794871794871795,0.82051282051282,0.871794871794872,0.794871794871795,0.846153846153846,0.769230769230769,0.846153846153846,0.846153846153846,0.82051282051282,0.743589743589744,0.871794871794872,0.692307692307692,0.794871794871795,0.769230769230769,0.769230769230769
"acc2",0.794871794871795,0.923076923076923,0.794871794871795,0.846153846153846,0.769230769230769,0.871794871794872,0.846153846153846,0.82051282051282,0.769230769230769,0.846153846153846,0.717948717948718,0.82051282051282,0.846153846153846,0.769230769230769,0.717948717948718
"acc3",0.743589743589744,0.794871794871795,0.846153846153846,0.769230769230769,0.871794871794872,0.846153846153846,0.846153846153846,0.769230769230769,0.846153846153846,0.717948717948718,0.82051282051282,0.846153846153846,0.769230769230769,0.769230769230769,0.769230769230769
"acc4",0.794871794871795,0.871794871794872,0.769230769230769,0.871794871794872,0.82051282051282,0.82051282051282,0.769230769230769,0.871794871794872,0.717948717948718,0.846153846153846,0.846153846153846,0.769230769230769,0.743589743589744,0.769230769230769,0.769230769230769
"acc5",0.769230769230769,0.769230769230769,0.871794871794872,0.82051282051282,0.82051282051282,0.769230769230769,0.846153846153846,0.692307692307692,0.871794871794872,0.846153846153846,0.717948717948718,0.743589743589744,0.82051282051282,0.794871794871795,0.871794871794872
"acc6",0.794871794871795,0.871794871794872,0.82051282051282,0.82051282051282,0.769230769230769,0.846153846153846,0.717948717948718,0.871794871794872,0.846153846153846,0.769230769230769,0.794871794871795,0.82051282051282,0.794871794871795,0.871794871794872,0.717948717948718
"acc7",0.871794871794872,0.82051282051282,0.82051282051282,0.769230769230769,0.846153846153846,0.692307692307692,0.871794871794872,0.846153846153846,0.82051282051282,0.82051282051282,0.743589743589744,0.82051282051282,0.897435897435897,0.717948717948718,0.794871794871795
"acc8",0.82051282051282,0.82051282051282,0.846153846153846,0.846153846153846,0.717948717948718,0.897435897435897,0.846153846153846,0.82051282051282,0.82051282051282,0.743589743589744,0.82051282051282,0.871794871794872,0.717948717948718,0.794871794871795,0.82051282051282
"acc9",0.82051282051282,0.923076923076923,0.846153846153846,0.717948717948718,0.871794871794872,0.871794871794872,0.846153846153846,0.82051282051282,0.743589743589744,0.769230769230769,0.923076923076923,0.743589743589744,0.794871794871795,0.82051282051282,0.717948717948718
"acc10",0.769230769230769,0.846153846153846,0.743589743589744,0.897435897435897,0.871794871794872,0.846153846153846,0.794871794871795,0.769230769230769,0.82051282051282,0.923076923076923,0.717948717948718,0.794871794871795,0.769230769230769,0.743589743589744,0.794871794871795
"acc11",0.717948717948718,0.717948717948718,0.871794871794872,0.846153846153846,0.846153846153846,0.769230769230769,0.769230769230769,0.871794871794872,0.923076923076923,0.743589743589744,0.82051282051282,0.794871794871795,0.769230769230769,0.82051282051282,0.769230769230769
"acc12",0.692307692307692,0.897435897435897,0.846153846153846,0.743589743589744,0.794871794871795,0.769230769230769,0.871794871794872,0.923076923076923,0.717948717948718,0.82051282051282,0.794871794871795,0.666666666666667,0.769230769230769,0.769230769230769,0.846153846153846
"acc13",0.897435897435897,0.871794871794872,0.743589743589744,0.794871794871795,0.717948717948718,0.871794871794872,0.923076923076923,0.717948717948718,0.82051282051282,0.846153846153846,0.666666666666667,0.794871794871795,0.769230769230769,0.871794871794872,0.794871794871795
"acc14",0.692307692307692,0.846153846153846,0.794871794871795,0.794871794871795,0.871794871794872,0.923076923076923,0.717948717948718,0.846153846153846,0.846153846153846,0.692307692307692,0.743589743589744,0.743589743589744,0.871794871794872,0.794871794871795,0.846153846153846
"acc15",0.846153846153846,0.82051282051282,0.82051282051282,0.871794871794872,0.923076923076923,0.717948717948718,0.846153846153846,0.871794871794872,0.769230769230769,0.82051282051282,0.743589743589744,0.82051282051282,0.794871794871795,0.82051282051282,0.82051282051282
"acc16",0.769230769230769,0.82051282051282,0.82051282051282,0.871794871794872,0.717948717948718,0.82051282051282,0.871794871794872,0.717948717948718,0.82051282051282,0.743589743589744,0.82051282051282,0.794871794871795,0.794871794871795,0.846153846153846,0.846153846153846
"acc17",0.769230769230769,0.846153846153846,0.897435897435897,0.717948717948718,0.794871794871795,0.871794871794872,0.717948717948718,0.871794871794872,0.743589743589744,0.846153846153846,0.846153846153846,0.769230769230769,0.82051282051282,0.846153846153846,0.666666666666667
"acc18",0.794871794871795,0.897435897435897,0.717948717948718,0.82051282051282,0.846153846153846,0.769230769230769,0.846153846153846,0.794871794871795,0.846153846153846,0.846153846153846,0.769230769230769,0.82051282051282,0.871794871794872,0.692307692307692,0.82051282051282
"acc19",0.794871794871795,0.717948717948718,0.82051282051282,0.871794871794872,0.743589743589744,0.846153846153846,0.769230769230769,0.846153846153846,0.846153846153846,0.82051282051282,0.794871794871795,0.846153846153846,0.717948717948718,0.794871794871795,0.769230769230769
"acc20",0.692307692307692,0.82051282051282,0.871794871794872,0.794871794871795,0.846153846153846,0.769230769230769,0.846153846153846,0.846153846153846,0.82051282051282,0.743589743589744,0.871794871794872,0.692307692307692,0.794871794871795,0.769230769230769,0.769230769230769
"acc_mean",0.782051282051282,0.835897435897436,0.821794871794872,0.814102564102564,0.815384615384615,0.817948717948718,0.82051282051282,0.821794871794872,0.811538461538462,0.797435897435897,0.792307692307692,0.783333333333333,0.796153846153846,0.792307692307692,0.784615384615385
