"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"acc1",0.541769943910986,0.802928954417702,0.802946380247667,0.802971345954771,0.802915382750696,0.802795284225928,0.802718128930164,0.789140546937066,0.789345754142158,0.793828312157751,0.797564669930504,0.7904103022127,0.780741681557062,0.783431831065863,0.783431831065863
"acc2",0.748868209484775,0.65822971203956,0.659655566072107,0.659648671194353,0.659648450687943,0.659722087770559,0.660207037883567,0.660080996279205,0.659614300302001,0.658086676226329,0.658616847555905,0.655489482118537,0.650904355919418,0.648349873185689,0.648349873185689
"acc3",0.709770896904031,0.852913156879378,0.853012211333013,0.852916341025325,0.852955852277868,0.852895337025026,0.852955106219902,0.852939961722399,0.852996989449673,0.852880995859907,0.851065871046622,0.843753750846009,0.841709002014178,0.862011349356157,0.862011349356157
"acc4",0.701080775925587,0.733095371039556,0.733042071354089,0.733015656831523,0.7329351175772,0.708190872595936,0.707964739516174,0.708046886438809,0.700965659838505,0.704494445261746,0.69992822456771,0.681602442532986,0.684896029685372,0.689400295543009,0.689400295543009
"acc5",0.679054148470048,0.683875847489688,0.683867743833725,0.68386350159121,0.676943229755542,0.680405048084404,0.669937927541924,0.673369608760383,0.667696606195774,0.664972063611634,0.662795723879088,0.670808324237517,0.673058275883477,0.671677811767915,0.671677811767915
"acc6",0.518068727273147,0.802928954417702,0.802946380247667,0.802971345954771,0.802915382750696,0.802795284225928,0.802718128930164,0.789140546937066,0.789345754142158,0.793828312157751,0.797564669930504,0.7904103022127,0.780741681557062,0.783431831065863,0.783431831065863
"acc7",0.658227668075831,0.65822971203956,0.659655566072107,0.659648671194353,0.659648450687943,0.659722087770559,0.660207037883567,0.660080996279205,0.659614300302001,0.658086676226329,0.658616847555905,0.655489482118537,0.650904355919418,0.648349873185689,0.648349873185689
"acc8",0.85767148793663,0.852913156879378,0.853012211333013,0.852916341025325,0.852955852277868,0.852895337025026,0.852955106219902,0.852939961722399,0.852996989449673,0.852880995859907,0.851065871046622,0.843753750846009,0.841709002014178,0.862011349356157,0.862011349356157
"acc9",0.733076212221356,0.733095371039556,0.733042071354089,0.733015656831523,0.7329351175772,0.708190872595936,0.707964739516174,0.708046886438809,0.700965659838505,0.704494445261746,0.69992822456771,0.681602442532986,0.684896029685372,0.689400295543009,0.689400295543009
"acc10",0.683875844391578,0.683875847489688,0.683867743833725,0.68386350159121,0.676943229755542,0.680405048084404,0.669937927541924,0.673369608760383,0.667696606195774,0.664972063611634,0.662795723879088,0.670808324237517,0.673058275883477,0.671677811767915,0.671677811767915
"acc11",0.802940562416033,0.802928954417702,0.802946380247667,0.802971345954771,0.802915382750696,0.802795284225928,0.802718128930164,0.789140546937066,0.789345754142158,0.793828312157751,0.797564669930504,0.7904103022127,0.780741681557062,0.783431831065863,0.783431831065863
"acc12",0.658227668075831,0.65822971203956,0.659655566072107,0.659648671194353,0.659648450687943,0.659722087770559,0.660207037883567,0.660080996279205,0.659614300302001,0.658086676226329,0.658616847555905,0.655489482118537,0.650904355919418,0.648349873185689,0.648349873185689
"acc13",0.85767148793663,0.852913156879378,0.853012211333013,0.852916341025325,0.852955852277868,0.852895337025026,0.852955106219902,0.852939961722399,0.852996989449673,0.852880995859907,0.851065871046622,0.843753750846009,0.841709002014178,0.862011349356157,0.862011349356157
"acc14",0.733076212221356,0.733095371039556,0.733042071354089,0.733015656831523,0.7329351175772,0.708190872595936,0.707964739516174,0.708046886438809,0.700965659838505,0.704494445261746,0.69992822456771,0.681602442532986,0.684896029685372,0.689400295543009,0.689400295543009
"acc15",0.683875844391578,0.683875847489688,0.683867743833725,0.68386350159121,0.676943229755542,0.680405048084404,0.669937927541924,0.673369608760383,0.667696606195774,0.664972063611634,0.662795723879088,0.670808324237517,0.673058275883477,0.671677811767915,0.671677811767915
"acc16",0.802940562416033,0.802928954417702,0.802946380247667,0.802971345954771,0.802915382750696,0.802795284225928,0.802718128930164,0.789140546937066,0.789345754142158,0.793828312157751,0.797564669930504,0.7904103022127,0.780741681557062,0.783431831065863,0.783431831065863
"acc17",0.658227668075831,0.65822971203956,0.659655566072107,0.659648671194353,0.659648450687943,0.659722087770559,0.660207037883567,0.660080996279205,0.659614300302001,0.658086676226329,0.658616847555905,0.655489482118537,0.650904355919418,0.648349873185689,0.648349873185689
"acc18",0.85767148793663,0.852913156879378,0.853012211333013,0.852916341025325,0.852955852277868,0.852895337025026,0.852955106219902,0.852939961722399,0.852996989449673,0.852880995859907,0.851065871046622,0.843753750846009,0.841709002014178,0.862011349356157,0.862011349356157
"acc19",0.733076212221356,0.733095371039556,0.733042071354089,0.733015656831523,0.7329351175772,0.708190872595936,0.707964739516174,0.708046886438809,0.700965659838505,0.704494445261746,0.69992822456771,0.681602442532986,0.684896029685372,0.689400295543009,0.689400295543009
"acc20",0.683875844391578,0.683875847489688,0.683867743833725,0.68386350159121,0.676943229755542,0.680405048084404,0.669937927541924,0.673369608760383,0.667696606195774,0.664972063611634,0.662795723879088,0.670808324237517,0.673058275883477,0.671677811767915,0.671677811767915
"acc_mean",0.715152373233841,0.746208608373177,0.74650479456812,0.746483103319436,0.74507960660985,0.74080172594037,0.738756588018347,0.736715600027572,0.734123861985622,0.734852498623473,0.733994267395966,0.72841286038955,0.726261869011901,0.730974232183727,0.730974232183727
