"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20"
"acc1",0.925637244161347,0.900610386687532,0.665945352072764,0.651876010804924,0.59980853068917,0.637540668289362,0.857646582060072,0.783472544309263,0.736998618972451,0.636536118278493,0.61352305541989,0.772016019878942,0.809730984318455,0.644789467995518,0.684611102212953,0.630061122949726,0.755156238299745,0.605795560364522,0.6589854102816,0.749270222492433
"acc2",1.06117749072386,0.808554888933868,0.84181069252084,0.651290876457423,0.65227109598256,0.564251389931272,0.62944393724599,0.87487005357885,0.833710012092316,0.736999405683376,0.641370993058757,0.607268056411153,0.757606795944715,0.803519897498104,0.64472870702244,0.70920928395527,0.632598960709456,0.781982688258128,0.624305353953638,0.65209669608861
"acc3",0.957642042799166,0.768177472733411,0.677101286868866,0.900956246668888,0.65696335102032,0.614264934971953,0.561794360788887,0.564388273728424,0.856456865506939,0.834257327917333,0.739498032272239,0.64722405387095,0.608251185462246,0.770727285951788,0.878330739238653,0.645353588119488,0.710033855798953,0.644645393123743,0.758216142562011,0.621473116574643
"acc4",0.892255512971341,0.939317057472674,0.666293629145643,0.63620966679633,0.861282225915233,0.606231815368951,0.607390170339094,0.568808822651927,0.583100070471986,0.86809909225461,0.830519704055046,0.746370455511774,0.649941003108835,0.648090949010646,0.773186761908327,0.881257984104674,0.626548586069543,0.711910982894023,0.634337649449872,0.797374324986445
"acc5",0.89969616361633,0.857610932743803,0.832712658523642,0.667709124879122,0.638502501620576,0.865294729071591,0.610433018733991,0.584541930170728,0.594558678293645,0.57919652584866,0.82409560390952,0.8256100019912,0.733287694573583,0.654885012834707,0.681924559789247,0.751300849416828,0.918751482340606,0.617030848222868,0.731447324285874,0.62796414214178
"acc6",0.981268240369445,0.80882318717363,0.737077150926257,0.884211967690431,0.686240471174188,0.660381436628805,0.845589816269008,0.714090255875407,0.598183996945167,0.701023507510266,0.573954383107731,0.829740229154257,0.809049323800685,0.752824893936907,0.611180649000929,0.687073581831876,0.737564111335558,0.899623030440415,0.631161341936262,0.736814759185805
"acc7",0.803456994969103,0.918618498372486,0.752367406808954,0.724716010535843,0.864887516663907,0.647133378932385,0.682213362668998,0.84590915875225,0.729951165112806,0.611036636360876,0.696803500551081,0.571614404725824,0.839810672142348,0.784455513627449,0.755698815420182,0.617311404265737,0.675919970171935,0.730243663272143,0.902476410219969,0.631979547472743
"acc8",0.863199435372255,0.801136483647426,0.805907112199931,0.68376827029441,0.684998588925673,0.848983077018811,0.682316560184133,0.688061725274073,0.827563666070736,0.740290689304143,0.571072246535768,0.692776850729362,0.583842688539684,0.82379780233838,0.774802662083102,0.754487177607079,0.616377803961175,0.690450327989555,0.756417420554183,0.893763598925866
"acc9",0.972646437864946,0.94099928966449,0.75460425055884,0.83899154191948,0.661328546154431,0.690329173196168,0.808707271761353,0.686741251185981,0.700173054550297,0.832088250866854,0.66994285123027,0.59410083115252,0.778833152533278,0.555900939763154,0.835000442898955,0.821061376661109,0.759881767156566,0.623662480856567,0.681207173738444,0.731001662122753
"acc10",0.9825704974583,0.772015757478283,0.761118866126009,0.701390662001789,0.832232038825119,0.648195291483649,0.665805227877447,0.809483842399489,0.690403520563035,0.679294757535816,0.812974197298614,0.729637906534797,0.589986255769382,0.778605551796564,0.554853415700676,0.865325352541517,0.820516157711386,0.792402621145669,0.627752444288686,0.662744116672027
"acc11",1.00183483053584,0.94477504991557,0.719284759325392,0.738164540269931,0.686028427371826,0.823428925689729,0.640665102802946,0.665979159454712,0.76166444619841,0.703176891907369,0.679582017106316,0.81326091503294,0.720823261329585,0.594670170051046,0.768662357318589,0.559666066419869,0.842717011798215,0.824659509449542,0.808945798618395,0.62446339205613
"acc12",0.911693321066576,0.831306777566833,0.87015134601875,0.650580528352497,0.673516745867838,0.679634106534882,0.786236148544472,0.641047493068571,0.665358275442078,0.765826130217691,0.697947369908924,0.684206924589803,0.842535266748418,0.717496804470401,0.596262637169975,0.723170988734214,0.568574395429915,0.855954234492631,0.809907014615135,0.820300915772045
