"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"acc1",0.593954285613773,0.781428224329047,0.709591737905093,0.568160109998846,0.549949572420337,0.730591116122795,0.652966404907124,0.66557636509579,0.546662575866933,0.488779793230854,0.691415607094428,0.838197068479198,0.629900739236034,0.710936010579392,0.574705358820667
"acc2",0.676727367383554,0.662870566641504,0.568154927788283,0.548491624258077,0.444589253001551,0.68945369293128,0.835295762528774,0.630024411224018,0.645370516368771,0.547725002019284,0.54334634852497,0.722204550535353,0.67444139302994,0.702223533258772,0.597332060196984
"acc3",0.691821743872342,0.663079675020597,0.630124454765423,0.627002313324808,0.568212145126697,0.55030373444854,0.724936387853948,0.657004090618603,0.663239188106497,0.535560054360289,0.52345780544238,0.741475035000292,0.834937478239524,0.659958574973083,0.708310994809674
"acc4",0.64923869309353,0.710082056329019,0.637351143196785,0.661263412280368,0.548497447202519,0.444200881290954,0.686886474764282,0.844310613672283,0.632772435628007,0.644155416409135,0.574959074245826,0.549076384398202,0.7227746597781,0.664864349530334,0.698472269159057
"acc5",0.644624105896239,0.604948627834312,0.833919569529108,0.63009655362249,0.626963602011702,0.568185778078423,0.549204609292311,0.7261038512128,0.668003064733649,0.65387576416108,0.531185495374697,0.541604536001541,0.74891483417618,0.834538606673778,0.667810627050888
"acc6",0.581545675210057,0.625475013599834,0.732702851075008,0.634492874228442,0.663270593446024,0.54851284828846,0.446350459809335,0.685725376430957,0.842529666276074,0.631476041282683,0.67087774149814,0.572340959178369,0.556063155280006,0.723957768314263,0.652030806427235
"acc7",0.494598483791554,0.808826228480022,0.684121634314337,0.834173588742506,0.630093314596283,0.626084783913915,0.568228132348473,0.552564630636112,0.731393084657689,0.663934822916649,0.657331151461592,0.523914109109133,0.551270054900636,0.752135159255281,0.833706308473029
"acc8",0.41923529622057,0.654658520682481,0.541485247408412,0.730955917333658,0.632641204966729,0.66209193319565,0.548444990900033,0.452486245202398,0.686999915980634,0.844659856113859,0.6345963534748,0.679574138647775,0.572177664343912,0.557276662660616,0.720549317827351
"acc9",0.712400761603626,0.793432750160527,0.438760162911162,0.687748419897181,0.834157486783245,0.630047649265265,0.634090130161248,0.568162660304442,0.552621404018992,0.731671301283282,0.660626390720193,0.654941818503988,0.602756126333356,0.560171092315949,0.752708523901801
"acc10",0.598241937017604,0.589408578845691,0.568139354293943,0.541688134307607,0.730608090554261,0.635380198501874,0.6622506351759,0.546607939963291,0.463842215053198,0.678741750722402,0.844614523584648,0.629490542845579,0.694289090674182,0.572157460739704,0.560212972321441
"acc11",0.706892388408035,0.773166653217142,0.548539158867136,0.438966476147585,0.687126146582213,0.834101149866383,0.629963304644219,0.645412095872403,0.547616454151364,0.550533045988578,0.731338752619584,0.663824026020069,0.697717312416854,0.604092998440334,0.609609903319623
"acc12",0.661490447175918,0.653247490391833,0.627761599131072,0.568160109998846,0.549949572420337,0.730591116122795,0.652966404907124,0.66557636509579,0.546662575866933,0.488779793230854,0.691415607094428,0.838197068479198,0.629900739236034,0.710936010579392,0.574705358820667
"acc13",0.716023283107482,0.622702771988612,0.65679208895802,0.548491624258077,0.444589253001551,0.68945369293128,0.835295762528774,0.630024411224018,0.645370516368771,0.547725002019284,0.54334634852497,0.722204550535353,0.67444139302994,0.702223533258772,0.597332060196984
"acc14",0.684714437399815,0.566090169639454,0.630124454765423,0.627002313324808,0.568212145126697,0.55030373444854,0.724936387853948,0.657004090618603,0.663239188106497,0.535560054360289,0.52345780544238,0.741475035000292,0.834937478239524,0.659958574973083,0.708310994809674
"acc15",0.605734947479647,0.71285442185505,0.637351143196785,0.661263412280368,0.548497447202519,0.444200881290954,0.686886474764282,0.844310613672283,0.632772435628007,0.644155416409135,0.574959074245826,0.549076384398202,0.7227746597781,0.664864349530334,0.698472269159057
"acc16",0.734765980896723,0.515123161946843,0.833919569529108,0.63009655362249,0.626963602011702,0.568185778078423,0.549204609292311,0.7261038512128,0.668003064733649,0.65387576416108,0.531185495374697,0.541604536001541,0.74891483417618,0.834538606673778,0.667810627050888
"acc17",0.613335794767736,0.541505436362537,0.732702851075008,0.634492874228442,0.663270593446024,0.54851284828846,0.446350459809335,0.685725376430957,0.842529666276074,0.631476041282683,0.67087774149814,0.572340959178369,0.556063155280006,0.723957768314263,0.652030806427235
"acc18",0.568460103270453,0.735008837943306,0.684121634314337,0.834173588742506,0.630093314596283,0.626084783913915,0.568228132348473,0.552564630636112,0.731393084657689,0.663934822916649,0.657331151461592,0.523914109109133,0.551270054900636,0.752135159255281,0.833706308473029
"acc19",0.699085660839721,0.646496249512617,0.541485247408412,0.730955917333658,0.632641204966729,0.66209193319565,0.548444990900033,0.452486245202398,0.686999915980634,0.844659856113859,0.6345963534748,0.679574138647775,0.572177664343912,0.557276662660616,0.720549317827351
"acc20",0.708808644798175,0.557205403561615,0.438760162911162,0.687748419897181,0.834157486783245,0.630047649265265,0.634090130161248,0.568162660304442,0.552621404018992,0.731671301283282,0.660626390720193,0.654941818503988,0.602756126333356,0.560171092315949,0.752708523901801
"acc_mean",0.638085001892328,0.660880541917102,0.633795449667201,0.641271211891397,0.620724173812332,0.618421309171941,0.629251032247559,0.637796826231525,0.647532118623953,0.63564754501326,0.627577260593914,0.646998588428668,0.658923930686321,0.675418698715149,0.679053770448722
