"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15"
"acc1",0.63556295563723,0.7228034840791,0.72445440789538,0.518059624751777,0.740515956882604,0.633795133572476,0.625571017977416,0.776211883250503,0.602584671495386,0.67032660919196,0.740632245198514,0.656613123018106,0.630677743814008,0.741132838229321,0.826039585307489
"acc2",0.496552668512818,0.759552929838402,0.753770748545334,0.722979170942238,0.771141090777447,0.494967212082442,0.575233229289836,0.674180905486336,0.601934582830978,0.717347477992076,0.785243255379825,0.806470985437749,0.500583610743422,0.76526072137756,0.709082940745141
"acc3",0.558496740052224,0.619258452971302,0.626261039379773,0.77631297004191,0.581848947242885,0.684071947486859,0.766761784592287,0.652618802855858,0.610760746056672,0.676048089365044,0.828094496538727,0.677807956880696,0.586940944948311,0.720375108698904,0.616016332943873
"acc4",0.604433860722839,0.495121997356962,0.595060038657498,0.703581527540626,0.603279330242205,0.707815718103783,0.779625084496602,0.749777919543121,0.443070086103788,0.752855016487743,0.728685274559137,0.745088624483746,0.737882741075056,0.758473981480393,0.534907720456265
"acc5",0.709376548754784,0.709272676827716,0.788179723207396,0.666544302171188,0.592852888619473,0.676155046432861,0.670616009103946,0.711458688369826,0.508925845974307,0.740463470361539,0.596258609687028,0.64619406979755,0.795146667880682,0.634823073288445,0.772183730246255
"acc6",0.770565885597483,0.729361719831212,0.779669469097314,0.749631350359996,0.482170122767448,0.736455990623242,0.749904529632782,0.753745763818746,0.733148240246786,0.771041431914832,0.494902478734871,0.595092585164979,0.689340733768905,0.576077495292242,0.680993181334671
"acc7",0.496552668512818,0.695756675449518,0.670631788182262,0.724474267701215,0.520006228000333,0.740556373715248,0.638992183612074,0.625605236584819,0.790315595475936,0.602712351196684,0.693001631953803,0.740648823247663,0.671022245708191,0.607946070037972,0.737572387146146
"acc8",0.620140067969343,0.730917103973261,0.760004241326848,0.753870532942975,0.722930770097646,0.771079657193272,0.494961504112161,0.575212809009973,0.675761999451435,0.573616144153066,0.679152624249414,0.785883210034996,0.809075507755544,0.493806570271995,0.762957374684638
"acc9",0.620140067969343,0.798898440991973,0.619393109027444,0.625449676237276,0.776035271914717,0.581721561971513,0.684039007910958,0.740712336624719,0.652576775700698,0.629252995380783,0.69849691504804,0.816284020442249,0.677750104801012,0.588138293092627,0.717527523518396
"acc10",0.639435859144557,0.796242971610427,0.495128427538559,0.575376112255444,0.656703602623144,0.603306619149428,0.706341438041776,0.779607787924814,0.749797399901916,0.443047963865374,0.75588223338379,0.725958245581433,0.733056933968391,0.74619156970358,0.753078736527153
"acc11",0.709376543334239,0.667873113425335,0.660407921605226,0.766798941143964,0.666509583612459,0.592718333884509,0.676086045933864,0.691875879068918,0.676571213826328,0.580137996285018,0.720121026621492,0.632746585599059,0.645261224000064,0.804185908860458,0.632099835027134
"acc12",0.998110116677932,0.60764158905257,0.729287067101515,0.779651577517355,0.749692338410771,0.483594938770802,0.736510230622121,0.749743809997323,0.753754335196558,0.737273724017295,0.771275755161555,0.49512140192682,0.595197302690768,0.688521073063233,0.59698488498775
"acc13",0.722061947511922,0.632391590616769,0.693706475684307,0.67064101646812,0.699717316584119,0.517599489341446,0.740472650216986,0.645310346474188,0.625661162183472,0.778957564805052,0.663744025267212,0.687511002806093,0.740651317983986,0.670616318877597,0.619171296395978
"acc14",0.699255132378028,0.481139857104582,0.73649318762569,0.731661838622751,0.7538533686808,0.722955729799377,0.771055497247259,0.494848690678127,0.575141971388492,0.678988713475174,0.5739319258595,0.677422550755386,0.810481211835141,0.837250352979259,0.53199564718398
"acc15",0.724483591715436,0.513284918800474,0.795610099667751,0.619453256892968,0.625497403632303,0.776013154641218,0.581818376020335,0.683929085297443,0.740674171300107,0.652602701479123,0.628893720959618,0.767683593300481,0.801530183598562,0.685871723490086,0.627731319407766
"acc16",0.779249619445003,0.75223776226544,0.796210791522572,0.495169470019676,0.575250661993433,0.656729983530665,0.603192901118248,0.71295200548652,0.779592510447228,0.794119355605422,0.443046624788288,0.750007117806879,0.708442103500234,0.721235463277425,0.731662122835934
"acc17",0.62423308653549,0.847594880515812,0.581868455848153,0.660541607891021,0.76677256698564,0.666385823254126,0.616423572637204,0.676128672557717,0.696904732633402,0.677031520791184,0.546363823032867,0.720110516642896,0.62559973834024,0.639906043492512,0.747414958225394
"acc18",0.620140067969343,0.713096835821338,0.592046095111655,0.729297772442789,0.779605847552287,0.749698791459501,0.453885852492681,0.737295555097659,0.754916944093073,0.745120360273426,0.723357342489576,0.771259030310431,0.497825822295314,0.556382322057841,0.67866051204629
"acc19",0.812511288402186,0.722020129436742,0.600665700558787,0.676143414041847,0.670692325395341,0.722949172328091,0.508930973894204,0.740412425513628,0.616847110535887,0.630847666822455,0.776531475176707,0.663991457307271,0.76112408455566,0.743141152256899,0.670879511236278
"acc20",0.7916038235786,0.749663850645383,0.482253430037081,0.736468745997841,0.750044664110625,0.753861556070743,0.722923255456469,0.771169105832252,0.494987981086178,0.575125515356035,0.679537050767666,0.55763888793416,0.690177934694232,0.81556402581954,0.83756883447137
"acc_mean",0.681614127021081,0.687206549030716,0.674055110881027,0.684105358799149,0.674256014306284,0.66362161167058,0.655167257220461,0.697139885473624,0.654196403796431,0.671345833440964,0.676357626742881,0.695976689423932,0.685388407897886,0.689745005282394,0.689226421736395
