"","training_participation","crop_type.cacao","num_info_exchange_extension","num_info_exchange_sources","distance_main_road","project_participation","num_membership","membership","influence_nr_frequency","num_children","participation_nr_frequency"
"20240229_AnD",1,1,4,2,300,0,1,1,1,3,2
"20240229_AnG",0,1,0,0,150,0,0,0,1,0,1
"20240229_ArP",0,0,0,1,5,0,2,1,3,2,2
"20240229_GeE",0,1,2,1,300,0,0,0,1,0,1
"20240229_GiA",0,0,0,1,10,0,1,1,3,2,4
"20240229_JuA",0,1,2,2,300,0,0,0,1,1,2
"20240229_LuA",0,0,1,2,50,0,1,1,4,1,5
"20240229_MaY",0,1,1,1,200,0,0,0,1,1,1
"20240229_SaC",1,1,4,1,250,1,1,1,1,4,3
"20240301_AnF",1,1,4,3,1,1,3,1,3,0,3
"20240301_CaG",1,0,0,1,50,0,1,1,3,3,3
"20240301_ElC",0,1,4,2,250,0,1,1,1,2,1
"20240301_ErR",0,0,0,1,50,0,2,1,4,0,4
"20240301_PaN",0,0,0,1,0,0,1,1,3,1,4
"20240301_SiC",1,1,3,2,50,0,0,0,2,2,3
"20240302_ElP",0,0,0,1,5,0,1,1,2,3,4
"20240302_IsV",0,0,0,1,5,0,1,1,3,0,3
"20240308_AlC",1,1,5,2,600,0,1,1,1,0,2
"20240309_ClC",1,1,4,3,400,0,1,1,2,6,2
"20240309_GrD",1,1,3,3,300,0,1,1,1,1,2
"20240310_BeT",1,1,4,2,600,0,1,1,1,2,2
"20240310_FeA",1,1,4,4,350,0,1,1,2,0,4
"20240310_RoB",1,1,4,2,600,0,1,1,2,4,3
"20240310_SaD",1,1,3,4,600,0,1,1,2,5,2
"20240311_DaC",0,1,0,0,450,0,0,0,1,2,1
"20240311_HeC",0,1,0,0,400,0,0,0,1,2,1
"20240311_IsQ",0,1,0,0,150,0,0,0,1,5,1
"20240311_JuC",0,1,0,1,400,0,0,0,1,3,1
"20240312_EzV",1,1,5,2,1,0,2,1,2,1,3
"20240313_AnG",1,1,2,2,100,0,0,0,1,2,1
