"","governance_capacity","social_norm","agroecol_perspective_13","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","numHA_nhlabour_permanent_total","num_info_exchange_extension","perception_associations_effectiveness","support_provider.cooperatives","training_participation","human_wellbeing_11"
"20231115_GiC",-1.22018111875563,-0.560879005004599,4,0,0,5,4,0.25,0,0,0,0,4
"20231115_IsC",-0.490718622979914,-0.56373120287953,3,0,0,2,3,0.315789473684211,2,0,0,0,4
"20231115_JoP",-0.610250933891151,-0.792773852213292,0,0,0,0,2,0.285714285714286,0,0,0,0,4
"20231116_AnJ",0.729141746749042,-0.802028749115003,4,0,0,0,3,0.333333333333333,1,3,0,1,4
"20231116_HiC",-0.550484778435533,-0.561372349489534,4,0,0,1,4,1,0,0,0,0,3
"20231116_JoR",1.39883808706914,-0.564047259000671,4,0,0,1,3,1.66666666666667,0,1,0,1,5
"20231116_LiC",0.669375591293423,-0.785436840472214,5,0,0,2,4,0.125,0,2,0,0,5
"20231116_LiS",-0.000320749026673284,-0.764523853851129,5,0,0,2,3,0.181818181818182,0,1,0,0,4
"20231116_RoG",0.119211561884564,-0.561370117244284,4,0,0,20,5,1,6,0,0,0,4
"20231117_EdR",0.0594454064289452,1.64207445793118,4,0,0,1,3,0.4,0,0,0,0,5
"20231117_GuS",0.729141746749042,-0.800658037207363,4,0,0,0,2,0.2,0,3,0,0,4
"20231117_JuC",0.729141746749042,-0.799501204714877,4,0,0,0,2,0.2,0,2,0,0,4
"20231117_NeR",-1.22018111875563,1.63331990504209,1,1,1,100,1,0.4,0,4,1,0,3
"20231117_RuA",-0.550484778435533,-0.566982915093557,4,0,0,1,4,0.210526315789474,6,0,0,0,4
"20231117_SaO",0.119211561884564,-0.800705594000556,4,0,0,0,3,0.571428571428571,0,2,0,1,4
"20231117_SeV",-0.550484778435533,-0.561851149774115,4,0,0,2,4,1,2,0,0,0,4
"20231117_ViR",-1.27994727421125,1.63331990504209,1,1,1,150,2,0.1,13,4,1,1,3
"20231118_JaS",-1.27994727421125,1.64425534661352,2,1,1,500,2,0.00769230769230769,4,4,1,1,3
"20231118_LuS",0.0594454064289452,-0.570591747999923,4,0,0,50,4,1,0,0,0,0,4
"20231118_ReS",-1.27994727421125,1.64425534661352,1,1,1,250,2,0.3,6,4,1,1,4
"20231120_AdC",1.39883808706914,-0.569302812528343,5,0,0,0,3,0.666666666666667,0,2,0,0,4
