main_crops_common_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Terere,,Bunches,,71166.29,,,,,,,,"179,712",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,712",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Thorn melon,,Kilograms,1,4942.103,,,,,,,,"179,713",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,713",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Tomatoes,,Crates,,1284.947,,,,,,,,"179,714",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,714",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Tomatoes,,Kilograms,1,15023.99,10000,60000,https://www.tandfonline.com/doi/abs/10.1080/00128325.2016.1261986 ,,,,,"179,715",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,10000,60000,,,"179,715",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Vegetables,,Bundles,,494.2103,,,,,,,,"179,716",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,,,,,,"179,716",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
Vegetables,,Kilograms,1,31234.09,,,,,,,,"179,717",https://data.worldbank.org/indicator/NY.GNP.PCAP.KN?locations=KE,1,,,,,"179,717",KES,0.00773356,https://www.xe.com/currencycharts/?from=KES&to=USD
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
