crops_names,scientific_name,production unit,conversion factor (to convert to kilograms),max yields in database (production_unit/ha),locally attainable yields (kg/ha) - WATER-LIMITED (RAINFED),locally attainable yields (kg/ha) -  (IRRIGATED),yield data source,max fertilizers in database (kg/ha),locally recommended fertilizer applications - RAINFED (kg/ha),locally recommended fertilizer applications - IRRIGATED (kg/ha),fertilizer data source,average national annual income (in local currency),income data source,yield_conversion_unit_to_kg,yield_ref_rainfed_clean,yield_ref_irr_clean,nut_ref_rainfed_clean,nut_ref_irr_clean,income_ref_clean,currency_local,currency_exchange_local_to_usd,exchange_rate_source
Lemon,,Ciento//100 units,10,410,7850,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",10,7850,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Maize,,Kilograms,1,7000,3770,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,3770,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Maize,,Toneladas//tons,1000,7,3770,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1000,3770,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Melon,,Unidad//units,1.5,2000,25570,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1.5,25570,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Orange,,Ciento//100 units,13,600,9900,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",13,9900,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Orange,,Kilograms,1,1000,9900,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,9900,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Oil palm,,Toneladas//tons,1000,8,,,,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1000,,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Papaya,,Jabas//crates,12,541.6667,11960,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",12,11960,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Pijuayo,,Racimos//bunches,15,200,8360,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",15,8360,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Pineapple,,Unidad//units,2.5,35000,16000,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",2.5,16000,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Pink grapefruit,,Ciento//100 units,25,500,8670,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",25,8670,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Rice,,Kilograms,1,8000,5870,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,5870,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Sachapapa,,Kilograms,1,10000,,,,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Tangerine,,Ciento//100 units,10,450,8160,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",10,8160,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Watermelon,,Kilograms,1,20000,26000,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",1,26000,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
Watermelon,,Unidad//units,8,16000,26000,,MIDAGRI https://app.powerbi.com/view?r=eyJrIjoiN2U3NTdkYTktOTk5Ny00NjQ5LTg0ZjEtMmIzYzlmZWIwMDhlIiwidCI6IjdmMDg0NjI3LTdmNDAtNDg3OS04OTE3LTk0Yjg2ZmQzNWYzZiJ9 average values for Ucayali,,,,,38424,"Data from ENAHO 2022, presented in APEIM 2023-2024 (https://apeim.com.pe/wp-content/uploads/2024/01/APEIM-Informe-de-Niveles-Socioeconomicos-2023-2024-Version-WEB.pdf)",8,26000,,,,38424,PEN,0.266893,https://www.xe.com/currencycharts/?from=PEN&to=USD
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
