"","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20","featNum21","featNum22","featNum23","featNum24","featNum25","featNum26","featNum27","featNum28","featNum29","featNum30","featNum31","featNum32","featNum33","featNum34","featNum35","featNum36","featNum37","featNum38","featNum39","featNum40"
"acc1",0.883333333333333,0.866666666666667,0.9,0.866666666666667,0.766666666666667,0.883333333333333,0.816666666666667,0.933333333333333,0.833333333333333,0.85,0.75,0.833333333333333,0.783333333333333,0.833333333333333,0.816666666666667,0.833333333333333,0.816666666666667,0.8,0.883333333333333,0.866666666666667,0.85,0.766666666666667,0.766666666666667,0.766666666666667,0.85,0.75,0.766666666666667,0.85,0.8,0.933333333333333,0.883333333333333
"acc2",0.85,0.866666666666667,0.9,0.866666666666667,0.866666666666667,0.833333333333333,0.8,0.866666666666667,0.85,0.85,0.8,0.816666666666667,0.816666666666667,0.916666666666667,0.833333333333333,0.816666666666667,0.766666666666667,0.816666666666667,0.816666666666667,0.85,0.8,0.833333333333333,0.833333333333333,0.8,0.916666666666667,0.866666666666667,0.75,0.8,0.816666666666667,0.8,0.833333333333333
"acc3",0.816666666666667,0.8,0.866666666666667,0.9,0.883333333333333,0.766666666666667,0.866666666666667,0.816666666666667,0.916666666666667,0.8,0.833333333333333,0.733333333333333,0.816666666666667,0.783333333333333,0.866666666666667,0.8,0.783333333333333,0.783333333333333,0.816666666666667,0.883333333333333,0.866666666666667,0.833333333333333,0.766666666666667,0.8,0.783333333333333,0.85,0.8,0.816666666666667,0.833333333333333,0.783333333333333,0.933333333333333
"acc4",0.8,0.866666666666667,0.816666666666667,0.9,0.883333333333333,0.833333333333333,0.833333333333333,0.783333333333333,0.783333333333333,0.85,0.833333333333333,0.8,0.816666666666667,0.8,0.883333333333333,0.833333333333333,0.833333333333333,0.75,0.8,0.8,0.85,0.8,0.833333333333333,0.816666666666667,0.816666666666667,0.916666666666667,0.866666666666667,0.783333333333333,0.816666666666667,0.833333333333333,0.8
"acc5",0.8,0.833333333333333,0.766666666666667,0.833333333333333,0.866666666666667,0.833333333333333,0.783333333333333,0.866666666666667,0.8,0.9,0.866666666666667,0.833333333333333,0.733333333333333,0.833333333333333,0.8,0.833333333333333,0.833333333333333,0.766666666666667,0.816666666666667,0.816666666666667,0.883333333333333,0.866666666666667,0.85,0.8,0.8,0.816666666666667,0.85,0.8,0.816666666666667,0.816666666666667,0.783333333333333
"acc6",0.9,0.85,0.866666666666667,0.833333333333333,0.9,0.883333333333333,0.8,0.75,0.816666666666667,0.75,0.833333333333333,0.833333333333333,0.8,0.816666666666667,0.783333333333333,0.9,0.85,0.85,0.766666666666667,0.85,0.816666666666667,0.85,0.8,0.783333333333333,0.816666666666667,0.8,0.916666666666667,0.883333333333333,0.783333333333333,0.816666666666667,0.816666666666667
"acc7",0.85,0.866666666666667,0.816666666666667,0.783333333333333,0.833333333333333,0.866666666666667,0.85,0.766666666666667,0.833333333333333,0.816666666666667,0.9,0.85,0.85,0.766666666666667,0.8,0.783333333333333,0.866666666666667,0.816666666666667,0.8,0.816666666666667,0.816666666666667,0.9,0.85,0.816666666666667,0.783333333333333,0.783333333333333,0.8,0.85,0.816666666666667,0.833333333333333,0.816666666666667
"acc8",0.866666666666667,0.9,0.85,0.883333333333333,0.85,0.933333333333333,0.866666666666667,0.85,0.75,0.816666666666667,0.816666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.766666666666667,0.8,0.9,0.85,0.85,0.766666666666667,0.866666666666667,0.816666666666667,0.85,0.8,0.783333333333333,0.816666666666667,0.8,0.916666666666667,0.866666666666667,0.783333333333333,0.816666666666667
"acc9",0.9,0.85,0.866666666666667,0.816666666666667,0.783333333333333,0.833333333333333,0.916666666666667,0.85,0.8,0.783333333333333,0.8,0.9,0.85,0.783333333333333,0.766666666666667,0.8,0.766666666666667,0.883333333333333,0.833333333333333,0.783333333333333,0.816666666666667,0.8,0.916666666666667,0.833333333333333,0.8,0.8,0.783333333333333,0.8,0.833333333333333,0.8,0.816666666666667
"acc10",0.866666666666667,0.883333333333333,0.883333333333333,0.833333333333333,0.883333333333333,0.85,0.933333333333333,0.866666666666667,0.833333333333333,0.75,0.816666666666667,0.816666666666667,0.866666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.8,0.9,0.816666666666667,0.816666666666667,0.766666666666667,0.866666666666667,0.8,0.816666666666667,0.783333333333333,0.766666666666667,0.85,0.8,0.916666666666667,0.883333333333333,0.783333333333333
"acc11",0.85,0.9,0.85,0.816666666666667,0.816666666666667,0.8,0.833333333333333,0.866666666666667,0.85,0.8,0.85,0.816666666666667,0.916666666666667,0.816666666666667,0.816666666666667,0.75,0.8,0.766666666666667,0.85,0.816666666666667,0.816666666666667,0.816666666666667,0.8,0.9,0.816666666666667,0.783333333333333,0.783333333333333,0.816666666666667,0.8,0.833333333333333,0.816666666666667
"acc12",0.783333333333333,0.866666666666667,0.9,0.866666666666667,0.766666666666667,0.883333333333333,0.816666666666667,0.933333333333333,0.833333333333333,0.85,0.75,0.833333333333333,0.783333333333333,0.833333333333333,0.816666666666667,0.833333333333333,0.816666666666667,0.8,0.883333333333333,0.866666666666667,0.85,0.766666666666667,0.766666666666667,0.766666666666667,0.85,0.75,0.766666666666667,0.85,0.8,0.933333333333333,0.883333333333333
"acc13",0.883333333333333,0.866666666666667,0.9,0.866666666666667,0.866666666666667,0.833333333333333,0.8,0.866666666666667,0.85,0.85,0.8,0.816666666666667,0.816666666666667,0.916666666666667,0.833333333333333,0.816666666666667,0.766666666666667,0.816666666666667,0.816666666666667,0.85,0.8,0.833333333333333,0.833333333333333,0.8,0.916666666666667,0.866666666666667,0.75,0.8,0.816666666666667,0.8,0.833333333333333
"acc14",0.833333333333333,0.8,0.866666666666667,0.9,0.883333333333333,0.766666666666667,0.866666666666667,0.816666666666667,0.916666666666667,0.8,0.833333333333333,0.733333333333333,0.816666666666667,0.783333333333333,0.866666666666667,0.8,0.783333333333333,0.783333333333333,0.816666666666667,0.883333333333333,0.866666666666667,0.833333333333333,0.766666666666667,0.8,0.783333333333333,0.85,0.8,0.816666666666667,0.833333333333333,0.783333333333333,0.933333333333333
"acc15",0.85,0.866666666666667,0.816666666666667,0.9,0.883333333333333,0.833333333333333,0.833333333333333,0.783333333333333,0.783333333333333,0.85,0.833333333333333,0.8,0.816666666666667,0.8,0.883333333333333,0.833333333333333,0.833333333333333,0.75,0.8,0.8,0.85,0.8,0.833333333333333,0.816666666666667,0.816666666666667,0.916666666666667,0.866666666666667,0.783333333333333,0.816666666666667,0.833333333333333,0.8
"acc16",0.883333333333333,0.833333333333333,0.766666666666667,0.833333333333333,0.866666666666667,0.833333333333333,0.783333333333333,0.866666666666667,0.8,0.9,0.866666666666667,0.833333333333333,0.733333333333333,0.833333333333333,0.8,0.833333333333333,0.833333333333333,0.766666666666667,0.816666666666667,0.816666666666667,0.883333333333333,0.866666666666667,0.85,0.8,0.8,0.816666666666667,0.85,0.8,0.816666666666667,0.816666666666667,0.783333333333333
"acc17",0.9,0.85,0.866666666666667,0.833333333333333,0.9,0.883333333333333,0.8,0.75,0.816666666666667,0.75,0.833333333333333,0.833333333333333,0.8,0.816666666666667,0.783333333333333,0.9,0.85,0.85,0.766666666666667,0.85,0.816666666666667,0.85,0.8,0.783333333333333,0.816666666666667,0.8,0.916666666666667,0.883333333333333,0.783333333333333,0.816666666666667,0.816666666666667
"acc18",0.85,0.866666666666667,0.816666666666667,0.783333333333333,0.833333333333333,0.866666666666667,0.85,0.766666666666667,0.833333333333333,0.816666666666667,0.9,0.85,0.85,0.766666666666667,0.8,0.783333333333333,0.866666666666667,0.816666666666667,0.8,0.816666666666667,0.816666666666667,0.9,0.85,0.816666666666667,0.783333333333333,0.783333333333333,0.8,0.85,0.816666666666667,0.833333333333333,0.816666666666667
"acc19",0.866666666666667,0.9,0.85,0.883333333333333,0.85,0.933333333333333,0.866666666666667,0.85,0.75,0.816666666666667,0.816666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.766666666666667,0.8,0.9,0.85,0.85,0.766666666666667,0.866666666666667,0.816666666666667,0.85,0.8,0.783333333333333,0.816666666666667,0.8,0.916666666666667,0.866666666666667,0.783333333333333,0.816666666666667
"acc20",0.9,0.85,0.866666666666667,0.816666666666667,0.783333333333333,0.833333333333333,0.916666666666667,0.85,0.8,0.783333333333333,0.8,0.9,0.85,0.783333333333333,0.766666666666667,0.8,0.766666666666667,0.883333333333333,0.833333333333333,0.783333333333333,0.816666666666667,0.8,0.916666666666667,0.833333333333333,0.8,0.8,0.783333333333333,0.8,0.833333333333333,0.8,0.816666666666667
"acc_mean",0.856666666666667,0.859166666666667,0.851666666666667,0.850833333333333,0.848333333333333,0.849166666666667,0.841666666666667,0.835,0.8225,0.819166666666667,0.826666666666667,0.825,0.819166666666667,0.819166666666667,0.814166666666667,0.819166666666667,0.821666666666667,0.815,0.821666666666667,0.825,0.835833333333333,0.830833333333333,0.826666666666667,0.8075,0.815,0.8175,0.815,0.830833333333333,0.824166666666667,0.825833333333333,0.83
