"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20"
"acc2",0.9,0.916666666666667,0.883333333333333,0.833333333333333,0.866666666666667,0.75,0.85,0.766666666666667,0.85,0.816666666666667,0.866666666666667,0.9,0.883333333333333,0.766666666666667,0.816666666666667,0.816666666666667,0.916666666666667,0.85,0.9,0.85
"acc3",0.816666666666667,0.8,0.866666666666667,0.866666666666667,0.85,0.866666666666667,0.85,0.866666666666667,0.866666666666667,0.8,0.85,0.833333333333333,0.866666666666667,0.783333333333333,0.883333333333333,0.9,0.9,0.85,0.8,0.883333333333333
"acc4",0.833333333333333,0.883333333333333,0.866666666666667,0.833333333333333,0.85,0.766666666666667,0.866666666666667,0.816666666666667,0.866666666666667,0.9,0.883333333333333,0.833333333333333,0.866666666666667,0.85,0.883333333333333,0.866666666666667,0.916666666666667,0.883333333333333,0.85,0.8
"acc5",0.8,0.816666666666667,0.85,0.883333333333333,0.85,0.783333333333333,0.883333333333333,0.783333333333333,0.883333333333333,0.866666666666667,0.866666666666667,0.816666666666667,0.85,0.9,0.9,0.85,0.783333333333333,0.833333333333333,0.816666666666667,0.866666666666667
"acc6",0.883333333333333,0.866666666666667,0.85,0.766666666666667,0.866666666666667,0.816666666666667,0.866666666666667,0.9,0.9,0.816666666666667,0.866666666666667,0.85,0.916666666666667,0.866666666666667,0.9,0.883333333333333,0.866666666666667,0.783333333333333,0.8,0.883333333333333
"acc7",0.9,0.866666666666667,0.85,0.783333333333333,0.883333333333333,0.816666666666667,0.883333333333333,0.833333333333333,0.85,0.8,0.883333333333333,0.883333333333333,0.9,0.85,0.816666666666667,0.833333333333333,0.85,0.85,0.816666666666667,0.866666666666667
"acc8",0.8,0.933333333333333,0.866666666666667,0.816666666666667,0.866666666666667,0.9,0.883333333333333,0.816666666666667,0.85,0.85,0.883333333333333,0.833333333333333,0.9,0.85,0.833333333333333,0.816666666666667,0.866666666666667,0.883333333333333,0.7,0.8
"acc9",0.916666666666667,0.916666666666667,0.883333333333333,0.816666666666667,0.883333333333333,0.833333333333333,0.85,0.766666666666667,0.9,0.866666666666667,0.85,0.85,0.833333333333333,0.833333333333333,0.85,0.85,0.833333333333333,0.833333333333333,0.883333333333333,0.866666666666667
"acc10",0.866666666666667,0.833333333333333,0.8,0.9,0.883333333333333,0.85,0.85,0.866666666666667,0.9,0.833333333333333,0.916666666666667,0.866666666666667,0.85,0.816666666666667,0.9,0.866666666666667,0.766666666666667,0.866666666666667,0.85,0.833333333333333
"acc11",0.816666666666667,0.8,0.883333333333333,0.833333333333333,0.85,0.833333333333333,0.783333333333333,0.866666666666667,0.9,0.85,0.833333333333333,0.866666666666667,0.883333333333333,0.85,0.816666666666667,0.816666666666667,0.9,0.866666666666667,0.816666666666667,0.816666666666667
"acc12",0.833333333333333,0.9,0.883333333333333,0.816666666666667,0.85,0.866666666666667,0.883333333333333,0.833333333333333,0.916666666666667,0.85,0.85,0.85,0.9,0.883333333333333,0.766666666666667,0.866666666666667,0.85,0.833333333333333,0.833333333333333,0.816666666666667
"acc13",0.8,0.833333333333333,0.85,0.833333333333333,0.783333333333333,0.866666666666667,0.883333333333333,0.85,0.816666666666667,0.916666666666667,0.883333333333333,0.883333333333333,0.866666666666667,0.833333333333333,0.9,0.85,0.85,0.816666666666667,0.766666666666667,0.883333333333333
"acc14",0.733333333333333,0.933333333333333,0.85,0.866666666666667,0.883333333333333,0.833333333333333,0.916666666666667,0.866666666666667,0.85,0.9,0.866666666666667,0.883333333333333,0.766666666666667,0.866666666666667,0.85,0.816666666666667,0.816666666666667,0.816666666666667,0.9,0.833333333333333
"acc15",0.783333333333333,0.933333333333333,0.783333333333333,0.866666666666667,0.883333333333333,0.85,0.816666666666667,0.9,0.883333333333333,0.883333333333333,0.833333333333333,0.85,0.9,0.85,0.866666666666667,0.816666666666667,0.766666666666667,0.85,0.8,0.866666666666667
"acc16",0.816666666666667,0.816666666666667,0.883333333333333,0.833333333333333,0.916666666666667,0.85,0.866666666666667,0.866666666666667,0.883333333333333,0.866666666666667,0.733333333333333,0.866666666666667,0.766666666666667,0.85,0.816666666666667,0.816666666666667,0.9,0.866666666666667,0.8,0.816666666666667
"acc17",0.866666666666667,0.866666666666667,0.9,0.85,0.816666666666667,0.9,0.883333333333333,0.866666666666667,0.866666666666667,0.85,0.883333333333333,0.85,0.9,0.85,0.783333333333333,0.866666666666667,0.833333333333333,0.883333333333333,0.816666666666667,0.85
"acc18",0.883333333333333,0.85,0.916666666666667,0.883333333333333,0.866666666666667,0.866666666666667,0.833333333333333,0.866666666666667,0.783333333333333,0.85,0.766666666666667,0.85,0.816666666666667,0.816666666666667,0.9,0.85,0.766666666666667,0.85,0.85,0.866666666666667
"acc19",0.833333333333333,0.816666666666667,0.816666666666667,0.9,0.9,0.866666666666667,0.866666666666667,0.85,0.883333333333333,0.85,0.883333333333333,0.85,0.766666666666667,0.866666666666667,0.85,0.866666666666667,0.783333333333333,0.866666666666667,0.85,0.9
"acc20",0.783333333333333,0.883333333333333,0.866666666666667,0.883333333333333,0.833333333333333,0.866666666666667,0.783333333333333,0.85,0.766666666666667,0.85,0.816666666666667,0.85,0.916666666666667,0.9,0.75,0.816666666666667,0.8,0.866666666666667,0.85,0.9
"acc_mean",0.8375,0.865,0.8625,0.848333333333333,0.8625,0.8425,0.8575,0.845,0.863333333333333,0.853333333333333,0.854166666666667,0.851666666666667,0.860833333333333,0.845833333333333,0.848333333333333,0.8425,0.841666666666667,0.85,0.83,0.853333333333333
