"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20","featNum21","featNum22","featNum23","featNum24","featNum25","featNum26","featNum27","featNum28","featNum29","featNum30","featNum31","featNum32","featNum33","featNum34","featNum35","featNum36","featNum37","featNum38","featNum39","featNum40"
"acc1",0.764266396060107,0.909765207664242,0.656131895015198,0.77106133968835,0.776298609355617,0.699859467927199,0.73609962362197,0.639602989262143,0.602534005904797,0.672867298265061,0.714907978886131,0.670821306081692,0.623772551396179,0.797214690262075,0.666138394612965,0.662037311801946,0.70891926477488,0.773637499095394,0.700566176827007,0.610144163257417,0.663492525137035,0.70412044297852,0.628870592153457,0.658986107894095,0.611029757529222,0.660982624223748,0.651020941401879,0.647671876223232,0.622916818117885,0.61554281992359,0.616800519979805,0.637505086936973,0.688153749514893,0.756665429165339,0.848739594056404,0.793039252607427,0.763322153017754,0.729715233780714,0.753842610794051,0.684026242032391
"acc2",0.792135723127582,0.757357110685666,0.689743121602813,0.633965941852166,0.832248953739162,0.74852396818276,0.66313866765108,0.683175079512997,0.824399466341844,0.674084548605821,0.672257806755132,0.75381774946025,0.656847354506559,0.600199049064447,0.728502149086354,0.565692392397046,0.669034223288611,0.667917851597723,0.676716251300935,0.689372283620019,0.642913115671698,0.666590459914941,0.728259710344431,0.611664738851295,0.666767787223837,0.74417870178306,0.676398407436135,0.732263555535421,0.77538945295527,0.633696292851905,0.603361180331799,0.700655238768022,0.5616681802744,0.647090406833857,0.772377810877337,0.697684278219214,0.730446069770523,0.627126167478505,0.71614806625811,0.702855770257895
"acc3",0.859536483159958,0.872258138723642,0.760004100599889,0.683686252538569,0.778912659739558,0.601888370370926,0.820042115001607,0.625057696019573,0.669496737368435,0.768790729051605,0.669095690839602,0.753637382792265,0.607016322979145,0.607239284940899,0.682125145681484,0.648174496308877,0.657140951881148,0.616505520868501,0.658408686438582,0.641473704249894,0.634959934787265,0.735666947535331,0.936024325607398,0.759864219676014,0.575167764228645,0.690711722780109,0.729276405303559,0.639972625610815,0.690795460079137,0.622933901853169,0.699933141803966,0.727404164967089,0.666683346259663,0.622685570909806,0.562382218928847,0.60503071048437,0.624637546839463,0.648417761654016,0.75542384271459,0.915523542562834
"acc4",0.750942691933214,0.705642813813096,0.811888099075848,0.536956839183451,0.859353792678037,0.715895902337147,0.714706323466043,0.658718632531431,0.552884146850562,0.810843873352691,0.7395774757221,0.645368399022672,0.686329689443966,0.731545777566426,0.682443787721012,0.692491389848078,0.736681252825072,0.648301070471106,0.568981119088443,0.721023048231004,0.530198011419377,0.654297227836897,0.665716414675098,0.657662278577363,0.661538954936103,0.603193434796234,0.727380222003104,0.765544725167125,0.607784249471929,0.668683316397283,0.691937378516654,0.738208627442178,0.800489550823443,0.790956099099277,0.638455898070375,0.615808405891857,0.711740172063094,0.635686668158058,0.632905108318356,0.712131989226848
"acc5",0.741843896243536,0.763293011373346,0.734754965888924,0.751216084857802,0.738897758782216,0.747997736289162,0.741117004299383,0.70707145753663,0.641758815743514,0.728109018686933,0.541380228175816,0.750690925684192,0.653199292522738,0.685735515863101,0.705960844138771,0.642578161880441,0.707317031916333,0.611250208282539,0.614665515264413,0.68125871914627,0.659725735862168,0.65259070887012,0.594876392476123,0.676825082682993,0.604038915839304,0.676473302278809,0.776765531297879,0.78238374624392,0.769513234457321,0.707766814491979,0.682227865808521,0.757652800769513,0.63180776625521,0.703152986348268,0.619781160262818,0.769884429876166,0.742078730018821,0.635517253197847,0.636970428394965,0.569158039666924
"acc6",0.871730475993153,0.835377583785228,0.780647184076607,0.692333379939477,0.870275156505258,0.629591342450658,0.637163929391903,0.767672245884912,0.667256478328008,0.743060378637859,0.685417886901448,0.71963837555172,0.646518204882783,0.609596509300892,0.743401237839784,0.751169347557248,0.628804819287803,0.67372359627785,0.815094193680025,0.667614243877762,0.70178400589821,0.732242102832423,0.640036915343103,0.63221659241043,0.725334227784541,0.5648203033231,0.659283046092755,0.657177754137955,0.654428061466129,0.702596608468368,0.591934049768664,0.727479540265691,0.708795595966203,0.606704287121307,0.659378362263884,0.700929344777956,0.818056018139747,0.770782697812502,0.750583024613643,0.706814104271007
"acc7",0.777783013844759,0.812421967404407,0.736031554666707,0.714190221880336,0.755010622866417,0.632022053039701,0.763315809338177,0.660057862219008,0.680797329541797,0.676956542876816,0.634141797055416,0.783052430874673,0.66515207859305,0.639443276032964,0.698968287018988,0.592228240514307,0.746936826792801,0.612369352553798,0.683403767215096,0.677248037144379,0.618374288814791,0.697163158630883,0.624687474056943,0.675367262716382,0.656387564155529,0.647792920194467,0.632955785882725,0.592209345323954,0.680799998523548,0.602469181411625,0.65939295495011,0.764655879335372,0.842028057207565,0.795805097276365,0.769196620253871,0.681760371418445,0.723266130762351,0.669086368033415,0.832217617433212,0.691019084828507
"acc8",0.72691617189424,0.659118103166593,0.842880593131023,0.785305588755903,0.70482065959162,0.782515973680663,0.82736347385001,0.712961063016898,0.6898383329596,0.767315142311815,0.664090681372335,0.630312224668355,0.725395758552399,0.546539512432226,0.678093193883917,0.630900196233681,0.698072473145664,0.654862465218644,0.583306405522172,0.687220769448703,0.746040176269152,0.609139889194425,0.672085776643687,0.773458132986015,0.716373820733098,0.731746107495541,0.741612886093647,0.652703992615632,0.632916648692137,0.707791813537587,0.572516362174187,0.646359155481812,0.711676569044551,0.681874218723196,0.704831751314751,0.631024208207114,0.714409753985383,0.686649503119286,0.594558650974008,0.606519327594766
"acc9",0.868867362694335,0.720689209230694,0.817706855602816,0.67492383192751,0.901946742446579,0.638178309144412,0.713698883129631,0.67331448446845,0.673727694752184,0.744809905292859,0.660339479503306,0.592401310089495,0.648281565245247,0.651412297500002,0.660895077671004,0.669600273985363,0.723408706913721,0.643707794158731,0.654556673758526,0.744067410720022,0.918145436864977,0.721296734632509,0.580880832148971,0.673019361301133,0.718190471911465,0.6350323181314,0.707628160811641,0.62336085155892,0.701896322041689,0.714702950341827,0.660652093029218,0.624652722717342,0.629127369791085,0.611473353908163,0.621794473872929,0.695203667081436,0.760879108761523,0.951534125857247,0.76719440611373,0.768528979165547
"acc10",0.821395270488775,0.632228758883295,0.840589602948793,0.709362973777734,0.73741044889712,0.632393754553536,0.607877839044046,0.854277928604148,0.76669418734959,0.651682981622004,0.6730850808329,0.841312764561258,0.677395012417602,0.690835316976112,0.748181371227162,0.645967880822438,0.592439810787443,0.736968196581057,0.527969931185943,0.653971274933756,0.655892282294882,0.676103053456235,0.664353403325426,0.604211709772531,0.695989335066691,0.733738476826287,0.609817806924051,0.67852545315869,0.695398204653825,0.660955944246653,0.780095950578983,0.769243118652188,0.608241548651338,0.623161955718203,0.680991188495984,0.608804495304802,0.643729797195365,0.690337851925943,0.697860045073269,0.701663721290724
"acc11",0.854380354181006,0.801143761213215,0.769116338256878,0.833196639405066,0.731686392981604,0.729831017522025,0.644982566395203,0.69106847739339,0.549049887819749,0.728177545144709,0.642032177610819,0.659189198598699,0.739688270400847,0.632483268204621,0.733584580749798,0.603292516010179,0.599856733539884,0.653262814893772,0.657502985927599,0.642075402898412,0.616377517430635,0.654001212373244,0.635279654776354,0.648929130660324,0.775358084864405,0.867136598345609,0.761322189909163,0.646193210462283,0.707901628918858,0.756430233899395,0.648739504982202,0.67930896313257,0.624385471004209,0.686706800906166,0.732476905156993,0.685351190651186,0.622039110798797,0.556957574659753,0.592287616181082,0.62865835255889
"acc12",0.841942944785097,0.769196227300535,0.95359785590376,0.649888802470681,0.682850585303216,0.783917151802518,0.638814081735081,0.822355643068391,0.751449379275069,0.829590931506604,0.639311949357433,0.554842400584857,0.809253535452314,0.73250929761876,0.586468933612193,0.680707706533864,0.800739670283682,0.664704294312362,0.699812088824627,0.716692976747445,0.628177822102429,0.610335653565792,0.737508230488846,0.566868607558651,0.653627503305756,0.638123837323635,0.636307397186234,0.666306470279603,0.606971828386188,0.721264878184559,0.754837731249071,0.61355928610602,0.663201112079024,0.695821498245665,0.793627329733354,0.800032036902516,0.760951497676824,0.763353494336297,0.638567998095543,0.76364567988916
"acc13",0.747326817939622,0.753353510765865,0.747400682939031,0.644184447076683,0.779282320119064,0.642286415649664,0.715213979958845,0.677805324339415,0.624101558445832,0.699212536408124,0.664783161983109,0.63708317652454,0.696780564509824,0.542894215401563,0.770828238007179,0.624197019085369,0.674874962483287,0.68208211951788,0.622167041599926,0.702251399108547,0.598296907665166,0.667756112908829,0.732123442095579,0.63475327004065,0.638035750304935,0.590692739690973,0.686924889982364,0.634066833185645,0.676837174094799,0.740886508655848,0.781504560018494,0.770535182724477,0.749585648770346,0.717695759473211,0.736794246811378,0.65614043146555,0.802084274753276,0.670487730758014,0.784613889331248,0.616848274246747
"acc14",0.891370874523645,0.901335672784608,0.846968406154179,0.805181950438121,0.886331138390313,0.759335852571956,0.691660908302702,0.781622056343248,0.656187432330519,0.63846435496879,0.721342320100258,0.569775468733031,0.678185792293038,0.648112073903746,0.711478045561581,0.653268232698999,0.601721477077122,0.696106723550931,0.737625949307151,0.642176302842033,0.680816546065015,0.785149592551621,0.715626960244484,0.697307899046423,0.711567732486382,0.631195014625388,0.650226356389782,0.722347564036212,0.59385865472378,0.668427423730129,0.740429016248169,0.633750615297021,0.73321138140599,0.58389848751667,0.729618498365699,0.688099868565763,0.639825422620631,0.624671638223837,0.725073629664361,0.80376735211262
"acc15",0.866950390902557,0.747724535619404,0.89962352612558,0.662158784761555,0.790706813834478,0.733557148520622,0.692377940973964,0.735448571576332,0.679746387905152,0.600494214770869,0.66233727328846,0.687570308163623,0.657929913370169,0.638915757763132,0.731051962073908,0.687246110253695,0.668811393907144,0.749573191482463,0.870017504846311,0.740827822023557,0.595380331267991,0.670471849384797,0.71677858761082,0.611688736684132,0.676740281910548,0.606397338133768,0.654129369781482,0.686773681951774,0.644974161055183,0.630457512742515,0.613586465899028,0.639789465045831,0.625283397705344,0.691775808631587,0.75093868257756,0.923048812055702,0.798482131832445,0.722092510301943,0.732704126982674,0.766946858352208
"acc16",0.816011618692589,0.797513226594345,0.69889185469942,0.696906327754184,0.623974150980215,0.808438430867912,0.763021536931167,0.665080729012714,0.68230200239938,0.849832238646891,0.658021623547066,0.690561584355934,0.754064306668647,0.687499662106696,0.591108805577687,0.723517297889075,0.559421684840643,0.67185368152952,0.650010860647818,0.674466769074788,0.689333068824724,0.615671249080308,0.676781985749115,0.726409701947471,0.626313490290161,0.690579754187932,0.749888309202973,0.683194880305241,0.745332221303873,0.7815643833482,0.646990935865872,0.591605439655888,0.715371701120372,0.586874495008528,0.639240679672078,0.772907413395044,0.699959093973501,0.73022727410814,0.633398016724696,0.721771741311346
"acc17",0.802557006718147,0.860203217819883,0.778960607220703,0.75822487720925,0.597453489566898,0.773085396726056,0.587598426092882,0.749982788776967,0.625944996791344,0.706613313167177,0.77389225175311,0.681536089519845,0.751766131122812,0.586926486057527,0.607006400087876,0.672692575773384,0.653939574428401,0.670573499405833,0.617165631866676,0.658391608059527,0.639937127162173,0.651819407277377,0.757908958064892,0.928012847895153,0.760554717205073,0.573278816921164,0.682367084770436,0.745400714940814,0.655624319471377,0.684337361076952,0.62793569398772,0.691238004206797,0.715831108111338,0.699447244570771,0.629721513761817,0.564711850336948,0.592931461774358,0.630717321305419,0.61905806475455,0.766045848646554
"acc18",1.32732234560485,0.768756315365518,0.754130430570078,0.787309885260505,0.532513490222544,0.857215128910014,0.730545699699917,0.694227101324957,0.657359912353548,0.548570660321018,0.812424407359765,0.739473707475839,0.65037216431246,0.695049756546143,0.777183767585142,0.667780591999301,0.693793049564561,0.757970490780462,0.647705030610498,0.598437459890159,0.720813337402305,0.516656471385235,0.651611084830289,0.64166631561867,0.639848995479329,0.663570593167317,0.613681835241808,0.724935528489657,0.762194121790163,0.614949696278574,0.656305371618023,0.694963336721407,0.745483664978989,0.7968336679066,0.787330445371005,0.684264566363756,0.617322824854293,0.72674318904419,0.623659249044162,0.673400670112401
"acc19",0.865056080158656,0.675137548440213,0.776070197688357,0.701817265555145,0.71621854137778,0.753220295047203,0.708859340402346,0.726395742350434,0.70430347204206,0.64268203840881,0.700015348255723,0.53766025127947,0.749500506064848,0.670061895863085,0.693001628735388,0.691937843615115,0.651868198192447,0.6939661649539,0.590031949586914,0.6318512941557,0.733376840643169,0.657635775030126,0.653324508153533,0.601095242477792,0.682862234071914,0.621715185916012,0.668409540517946,0.777577256418405,0.783120735637633,0.769707982443812,0.716737771091249,0.682766909425227,0.729777592323644,0.647396100011204,0.765999231244229,0.659166381294061,0.777148967114428,0.709489519284014,0.644271874091065,0.662961930933053
"acc20",0.827785526858358,0.869081439835346,0.857126048878355,0.813070459737151,0.689942241201276,0.828851682204291,0.653977045470739,0.621246833524037,0.710814194370044,0.531887640698482,0.670848230745731,0.681564777713929,0.748275973041995,0.670074968422803,0.606719159341259,0.720713427038289,0.75286460400609,0.639873531717432,0.688069304474547,0.814900512530444,0.68177821457186,0.700916552666347,0.735367433935873,0.618619252708785,0.625875772251174,0.706702771634646,0.58527412512757,0.659380269936413,0.747962527391211,0.654128505568338,0.707527940332734,0.57787139407935,0.729461194659914,0.715119762735201,0.638409191118916,0.634342541198887,0.706557973641091,0.812886075655402,0.774218038448181,0.789604869005898
"acc_mean",0.840806072290209,0.780579868023457,0.787613196052248,0.715247094703482,0.749306728428949,0.724930269889921,0.702578759737835,0.707357135338304,0.670532320943651,0.700702294637247,0.679965142502283,0.679015491586817,0.691286249388831,0.653214430591361,0.690157050510673,0.661309650612335,0.676332335496837,0.675960503362495,0.66318885339866,0.679773260097992,0.667790661307751,0.668981230105298,0.687405134136221,0.669931324575315,0.671080158078906,0.66390312808896,0.680033514567857,0.685899516779086,0.687830791161597,0.682964706472615,0.672672324411724,0.683460246586538,0.694013200297376,0.683056951505469,0.704104290110511,0.69336171280491,0.712493411979683,0.699623997934727,0.695277815200275,0.712594618903316
