"","training_participation","num_info_exchange_extension","distance_main_road","num_membership","project_participation","num_info_exchange_sources","membership","influence_nr_frequency","participation_nr_frequency","num_info_exchange_ngo","num_children","num_adults_total","age"
"20231121_MiF",1,0,150,1,1,0,1,2,3,0,4,2,42
"20231122_AnM",0,0,0,2,0,3,1,5,5,0,3,2,51
"20231122_EtM",1,0,3,3,0,3,1,5,5,0,2,2,43
"20231122_LeC",1,4,150,2,1,2,1,1,2,0,0,2,69
"20231122_MeA",1,4,5,2,0,3,1,1,3,2,0,4,86
"20231124_AlL",0,0,2,0,0,1,0,3,3,0,1,4,67
"20231124_AnM",0,0,2,1,0,3,1,5,5,0,3,3,56
"20231124_EdA",0,4,400,1,1,3,1,1,1,0,2,1,48
"20231124_JiR",0,0,2,1,0,3,1,5,5,0,2,2,38
"20231124_MaF",0,0,1,2,0,3,1,5,5,0,2,2,44
"20231124_RoS",1,2,30,1,1,3,1,1,2,0,1,4,42
"20231125_DyR",1,4,400,3,1,3,1,1,1,0,3,5,31
"20231125_WiS",1,8,400,2,1,2,1,1,1,0,3,2,47
"20231128_DeG",0,0,5,0,1,2,0,3,2,1,1,3,38
"20231128_GlM",0,0,5,2,0,0,1,3,5,0,1,2,41
"20231129_LiL",0,2,5,0,0,2,0,3,4,0,2,2,43
"20231129_ReA",1,0,5,0,0,1,0,2,5,0,2,2,33
"20231204_DaR",0,0,2,2,0,3,1,5,5,0,1,2,34
"20231206_DeN",1,2,5,3,0,4,1,5,5,0,1,2,55
"20231206_ElC",0,2,5,3,0,4,1,5,5,0,3,3,67
"20231206_RaT",0,0,5,2,0,3,1,5,5,0,1,5,70
"20231207_EmE",1,0,5,2,0,3,1,5,5,0,2,3,71
"20231207_JoM",1,0,5,2,0,3,1,5,5,0,1,3,70
"20231207_JoM_Ta",1,0,5,2,0,3,1,5,5,0,0,4,35
"20231207_JuM",0,0,5,2,0,3,1,5,5,0,0,4,54
"20231208_IrN",1,0,3,2,0,3,1,5,5,0,1,4,68
"20231208_LoR",1,1,5,2,0,4,1,5,5,0,3,3,64
"20231208_LuL",1,1,5,2,0,4,1,5,5,0,4,3,40
"20231210_JuG",1,8,150,2,0,2,1,1,1,0,2,2,45
"20231211_DiM",0,0,1,2,0,1,1,3,4,0,0,3,57
"20231211_DoF",0,0,2,1,0,2,1,4,4,0,3,2,44
"20231211_NaS",0,0,3,1,0,1,1,1,1,0,0,3,75
"20231212_MaR",0,0,2,1,0,1,1,3,3,0,0,3,54
"20231213_JaH",1,2,200,1,1,4,1,1,1,0,3,2,48
"20231213_JoZ",1,3,600,1,0,2,1,1,1,0,3,3,33
"20231215_GrT",0,0,300,1,0,0,1,1,1,0,0,1,65
"20231215_JoS",1,4,600,3,1,2,1,1,1,0,3,3,42
"20231218_LiG",1,0,5,2,0,3,1,5,5,0,1,2,52
"20231218_MaC",0,0,5,2,0,3,1,5,4,0,0,4,56
"20231221_EsP",1,0,5,3,0,3,1,5,5,0,2,4,51
"20231221_MaL",0,0,5,2,0,3,1,5,5,0,1,2,65
"20231222_RiJ",0,0,50,2,0,3,1,4,5,0,2,4,60
"20231227_LuC",0,0,5,3,0,3,1,5,5,0,1,4,67
"20240107_AmP",1,0,5,2,0,2,1,4,5,0,1,2,49
"20240107_EuH",0,0,5,3,0,3,1,5,5,0,1,4,64
"20240107_EuJ",0,0,20,2,0,3,1,4,5,0,1,4,57
"20240107_MaC",0,0,50,3,0,3,1,4,5,0,1,3,68
"20240108_AsG",0,0,20,2,0,3,1,5,5,0,2,5,69
"20240109_WaS",0,0,30,3,0,3,1,5,5,0,0,2,54
"20240110_WiS",0,0,20,3,0,3,1,4,4,0,0,4,37
"20240111_SaA",0,0,30,2,0,3,1,4,5,0,1,5,48
"20240118_ElD",1,3,300,1,0,3,1,1,1,0,2,2,42
"20240118_NoC",1,2,300,1,0,1,1,1,1,0,0,2,81
"20240124_JuJ",1,4,150,3,1,3,1,1,1,0,2,3,50
"20240125_ArR",1,4,150,1,0,2,1,1,1,0,0,3,78
"20240126_RaM",1,1,300,2,0,3,1,2,2,0,1,2,48
"20240126_WiM",1,4,600,1,1,3,1,1,1,5,0,2,41
"20240212_EsV",0,0,5,1,0,1,1,2,2,0,2,2,47
"20240212_JaR",0,0,100,0,0,1,0,3,2,0,0,2,57
"20240212_JuA",0,0,1,1,0,1,1,2,2,0,0,4,82
"20240213_LeC",0,0,1,2,0,2,1,3,4,0,0,3,69
"20240213_PeS",0,0,5,1,0,1,1,3,3,0,0,2,64
"20240213_WiM",0,0,5,1,0,2,1,3,4,0,2,2,32
"20240214_ViG",0,0,2,1,0,1,1,3,3,0,0,2,57
"20240216_CaR",0,0,0,2,0,1,1,4,5,0,0,4,51
"20240216_JuC",0,0,2,2,0,2,1,3,4,0,0,4,43
"20240217_CaA",0,0,2,1,0,2,1,3,3,1,1,3,52
"20240226_DaT",1,3,150,1,1,1,1,1,1,0,0,1,41
"20240226_JuT",0,1,100,0,1,2,0,1,1,0,0,2,72
"20240226_NeT",0,0,100,0,0,0,0,1,1,0,3,2,33
"20240226_WiB",1,5,300,1,0,4,1,3,5,0,4,2,50
"20240227_ElT",0,0,3,0,0,0,0,1,1,0,5,1,35
"20240227_LuP",0,0,2,1,0,2,1,2,3,0,1,1,37
"20240227_SeV",0,0,100,0,0,0,0,1,1,0,5,2,30
"20240228_AlA",0,0,100,0,0,0,0,1,1,0,0,3,63
"20240228_DeR",1,0,150,1,0,1,1,3,3,0,1,3,39
"20240228_GlG",0,0,100,0,0,0,0,1,1,0,3,2,40
"20240228_GrL",0,2,200,0,0,2,0,1,1,0,0,2,62
"20240228_LiY",1,3,300,2,0,3,1,2,5,0,3,2,42
"20240228_MaS",0,1,150,0,0,2,0,1,1,0,2,2,37
"20240228_SeT",1,5,250,1,1,1,1,2,2,0,2,4,67
"20240228_SoI",0,0,2,1,0,2,1,2,2,0,0,2,43
"20240229_AnD",1,4,300,1,0,2,1,1,2,0,3,2,41
"20240229_AnG",0,0,150,0,0,0,0,1,1,0,0,1,36
"20240229_ArP",0,0,5,2,0,1,1,3,2,0,2,2,33
"20240229_GeE",0,2,300,0,0,1,0,1,1,0,0,1,46
"20240229_GiA",0,0,10,1,0,1,1,3,4,0,2,2,35
"20240229_JuA",0,2,300,0,0,2,0,1,2,0,1,1,63
"20240229_LuA",0,1,50,1,0,2,1,4,5,0,1,3,49
"20240229_MaY",0,1,200,0,0,1,0,1,1,0,1,2,28
"20240229_SaC",1,4,250,1,1,1,1,1,3,0,4,2,27
"20240301_AnF",1,4,1,3,1,3,1,3,3,0,0,3,64
"20240301_CaG",1,0,50,1,0,1,1,3,3,0,3,11,37
"20240301_ElC",0,4,250,1,0,2,1,1,1,0,2,1,55
"20240301_ErR",0,0,50,2,0,1,1,4,4,0,0,4,61
"20240301_PaN",0,0,0,1,0,1,1,3,4,0,1,4,36
"20240301_SiC",1,3,50,0,0,2,0,2,3,0,2,2,40
"20240302_ElP",0,0,5,1,0,1,1,2,4,0,3,2,38
"20240302_IsV",0,0,5,1,0,1,1,3,3,0,0,2,55
"20240308_AlC",1,5,600,1,0,2,1,1,2,0,0,2,82
"20240309_ClC",1,4,400,1,0,3,1,2,2,0,6,1,51
"20240309_GrD",1,3,300,1,0,3,1,1,2,0,1,2,65
"20240310_BeT",1,4,600,1,0,2,1,1,2,0,2,2,39
"20240310_FeA",1,4,350,1,0,4,1,2,4,0,0,2,69
"20240310_RoB",1,4,600,1,0,2,1,2,3,0,4,2,42
"20240310_SaD",1,3,600,1,0,4,1,2,2,0,5,2,43
"20240311_DaC",0,0,450,0,0,0,0,1,1,0,2,1,40
"20240311_HeC",0,0,400,0,0,0,0,1,1,0,2,2,30
"20240311_IsQ",0,0,150,0,0,0,0,1,1,0,5,2,45
"20240311_JuC",0,0,400,0,0,1,0,1,1,0,3,2,47
"20240312_EzV",1,5,1,2,0,2,1,2,3,0,1,2,58
"20240313_AnG",1,2,100,0,0,2,0,1,1,0,2,1,34
