"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20"
"acc1",0.965194201918522,0.802431405453592,0.713102954518953,0.60228050967414,0.758478096283579,0.670026644495417,0.568783799065336,0.750397624122431,0.633027914210337,0.547675316202147,0.637851283764922,0.664872032131128,0.561840790509519,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194
"acc2",0.855945864489043,0.695352777994146,0.857386649791347,0.80325964231637,0.643487206459704,0.829670811635903,0.769481731742581,0.639027947700037,0.72105786163691,0.761003062658881,0.625692717844878,0.663898646663464,0.74233482201804,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898
"acc3",0.878344545224717,0.866626477268716,0.741356343934953,0.903734143860279,0.776734106399566,0.646125304796946,0.816766158716084,0.730015166713912,0.603763693628916,0.805657630035611,0.755724755126884,0.613091687327077,0.82711844794554,0.651982966884768,0.617200079596752,0.844540753522842,0.651982966884768,0.617200079596752,0.844540753522842,0.651982966884768
"acc4",0.871273242539432,0.686177874456657,0.895595995492729,0.813529085403071,0.636424826436071,0.820989601471141,0.833543846088177,0.583212233486345,0.768231901563999,0.805325547963682,0.607207102630909,0.721919036460368,0.775070189936334,0.549219125100712,0.716759969664693,0.773408879633244,0.549219125100712,0.716759969664693,0.773408879633244,0.549219125100712
"acc5",0.767425705937803,0.669024695359583,0.758443792617958,0.692968078695736,0.591444619269995,0.754452744491843,0.655923545593457,0.564796131058123,0.67318293615165,0.634944866070751,0.582730336410404,0.656987028659037,0.656963249455334,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413
"acc6",0.9148162875892,0.784243959271787,0.716019194035259,0.857508375510871,0.801875741717776,0.665929839157072,0.74789520755983,0.724856247213094,0.651020128342622,0.701867056895185,0.682110571948608,0.62579081644022,0.671167147817189,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478
"acc7",0.741336141717071,0.84470115676515,0.827182001323266,0.695484699274459,0.834371404755999,0.73045889414674,0.648910092544441,0.811187841831315,0.707514613106252,0.60565342944209,0.838368463486386,0.723971099817027,0.609628009452378,0.844540753522842,0.651982966884768,0.617200079596752,0.844540753522842,0.651982966884768,0.617200079596752,0.844540753522842
"acc8",0.98708130074555,0.89770933876413,0.686168614107543,0.826541837745256,0.8337334271841,0.640811150367835,0.814016335181676,0.830144410965178,0.590347739585976,0.768394397908091,0.801493159672493,0.554855388031288,0.723429534327456,0.773408879633244,0.549219125100712,0.716759969664693,0.773408879633244,0.549219125100712,0.716759969664693,0.773408879633244
"acc9",0.8449707364542,0.706426368683772,0.607832938264989,0.758561902620668,0.670106992234807,0.572238807639928,0.75972123104199,0.646805158536001,0.554442435604553,0.638952729093391,0.652515195335091,0.590251851520627,0.633491048932062,0.623751019571534,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194,0.623751019571534
"acc10",0.718938408225197,0.914828297064736,0.790541634301896,0.720132971261876,0.827384849946158,0.766478439722371,0.638005600341923,0.749638980919094,0.756692344282904,0.621617187750209,0.685397282474982,0.669989916847702,0.61244771435612,0.645700710963721,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898,0.645700710963721
"acc11",0.866322627180513,0.741361716604451,0.836355609905858,0.79341738946395,0.67418663447366,0.840011729294274,0.760631644644569,0.611369123815776,0.807995492063016,0.755122293527503,0.615045450343826,0.835112964531738,0.682117125653644,0.617200079596752,0.844540753522842,0.651982966884768,0.617200079596752,0.844540753522842,0.651982966884768,0.617200079596752
"acc12",0.686177347395578,0.934677319395754,0.867171899540069,0.6606978330183,0.817200310932493,0.833638776590039,0.607455008667146,0.795623566098471,0.809136227709852,0.591726760421379,0.715436176024373,0.800682167418084,0.556496719670072,0.716759969664693,0.773408879633244,0.549219125100712,0.716759969664693,0.773408879633244,0.549219125100712,0.716759969664693
"acc13",0.671848169192428,0.802431405453592,0.713102954518953,0.60228050967414,0.758478096283579,0.670026644495417,0.568783799065336,0.750397624122431,0.633027914210337,0.547675316202147,0.637851283764922,0.664872032131128,0.561840790509519,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194
"acc14",0.855945864489043,0.695352777994146,0.857386649791347,0.80325964231637,0.643487206459704,0.829670811635903,0.769481731742581,0.639027947700037,0.72105786163691,0.761003062658881,0.625692717844878,0.663898646663464,0.74233482201804,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898
"acc15",0.878344545224717,0.866626477268716,0.741356343934953,0.903734143860279,0.776734106399566,0.646125304796946,0.816766158716084,0.730015166713912,0.603763693628916,0.805657630035611,0.755724755126884,0.613091687327077,0.82711844794554,0.651982966884768,0.617200079596752,0.844540753522842,0.651982966884768,0.617200079596752,0.844540753522842,0.651982966884768
"acc16",0.871273242539432,0.686177874456657,0.895595995492729,0.813529085403071,0.636424826436071,0.820989601471141,0.833543846088177,0.583212233486345,0.768231901563999,0.805325547963682,0.607207102630909,0.721919036460368,0.775070189936334,0.549219125100712,0.716759969664693,0.773408879633244,0.549219125100712,0.716759969664693,0.773408879633244,0.549219125100712
"acc17",0.767425705937803,0.669024695359583,0.758443792617958,0.692968078695736,0.591444619269995,0.754452744491843,0.655923545593457,0.564796131058123,0.67318293615165,0.634944866070751,0.582730336410404,0.656987028659037,0.656963249455334,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413,0.640673042859194,0.623751019571534,0.55174498880413
"acc18",0.9148162875892,0.784243959271787,0.716019194035259,0.857508375510871,0.801875741717776,0.665929839157072,0.74789520755983,0.724856247213094,0.651020128342622,0.701867056895185,0.682110571948608,0.62579081644022,0.671167147817189,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478,0.615463281943898,0.645700710963721,0.742101996234478
