"","featNum1","featNum2","featNum3","featNum4","featNum5","featNum6","featNum7","featNum8","featNum9","featNum10","featNum11","featNum12","featNum13","featNum14","featNum15","featNum16","featNum17","featNum18","featNum19","featNum20","featNum21","featNum22","featNum23","featNum24","featNum25","featNum26","featNum27","featNum28","featNum29","featNum30","featNum31","featNum32","featNum33","featNum34","featNum35","featNum36","featNum37","featNum38","featNum39","featNum40"
"acc1",0.764266396060107,0.875678128632351,0.669348967209272,0.722868171222965,0.701824730171853,0.641989302884989,0.804730091210495,0.587578858308138,0.660399358805809,0.611928221134407,0.64504701814772,0.695642908686578,0.637156564302033,0.646818188550973,0.599387147764634,0.631360837111296,0.717250353026764,0.563532441482877,1.01635458561519,0.723017214542972,0.664823914665808,0.76143112262301,0.637548618831351,0.632069357241022,0.654616848955148,0.645405253102407,0.643642974335671,0.64664526972081,0.696623549249751,0.597619213266592,0.665773304082729,0.580327901892001,0.64887049191576,0.782393864335576,0.731002964653946,0.916549884259637,0.763375865011573,0.643211540184479,0.69521647363201,0.602164445625724
"acc2",1.06030613760647,0.90085671477965,0.662803357860111,0.662115661581091,0.779987111397176,0.761563303058043,0.615692154348654,0.665109150260611,0.712392757320229,0.637082612059601,0.695125007871081,0.813291434275547,0.720835948241137,0.540895565794046,0.664162067584676,0.549919761861455,0.658691712703824,0.681654602236289,0.726943882427288,0.642653243824354,0.626461085090299,0.755689853305845,0.747516297291025,0.602208836298792,0.704352259368093,0.71842850074581,0.71593961323647,0.692873049072368,0.856418932874222,0.586110993803504,0.62109312670551,0.724044917929867,0.584350856958816,0.692534671435384,0.636891948623229,0.686094079488635,0.620256634496321,0.626222257170746,0.703559983986196,0.754453911424021
"acc3",0.859536483159958,0.872258138723642,0.760681653812915,0.593589640988303,0.711299433032961,0.5897325101048,0.722001108935961,0.652136562423131,0.668800083087597,0.692832823860582,0.683419550298257,0.699814834315805,0.59539222384028,0.61114228228769,0.653520489723012,0.671070618790796,0.685162617829942,0.624483382783306,0.656247868198224,0.601812847244722,0.667063521800269,0.705299173763294,0.757381217644292,0.956202596597445,0.776724694069491,0.643211540184479,0.69521647363201,0.602164445625724,0.655675654752065,0.655636373566978,0.645405253102407,0.643642974335671,0.64664526972081,0.696623549249751,0.597619213266592,0.665773304082729,0.580327901892001,0.64887049191576,0.782393864335576,0.731002964653946
"acc4",0.93236323699671,0.705642813813096,0.833178522407103,0.51550432444828,0.773834281628912,0.669558642994747,0.663179688647783,0.635330089524503,0.583672001027464,0.719606988706311,0.739920563412375,0.593857942127223,0.709161514434754,0.728951044225368,0.656419373422424,0.684418864782298,0.832029402034056,0.679826773742767,0.568855419525515,0.676197908658804,0.601109230270104,0.680013974668879,0.683811739345359,0.694353497422082,0.645460047839612,0.626222257170746,0.703559983986196,0.754453911424021,0.691055275009811,0.684932586229329,0.71842850074581,0.71593961323647,0.692873049072368,0.856418932874222,0.586110993803504,0.62109312670551,0.724044917929867,0.584350856958816,0.692534671435384,0.636891948623229
"acc5",0.741843896243536,0.930021771732236,0.672919905905938,0.717418024291272,0.708978637546926,0.678008398480691,0.6755821014154,0.626548721583251,0.601784541739828,0.712480886290417,0.547839884154153,0.777393468310215,0.664757976787637,0.66659239299753,0.777647913994541,0.649351496086338,0.676196578869116,0.612152581879044,0.636446341864582,0.646027292237539,0.637787365398992,0.701294910894877,0.639426016309659,0.661319966147995,0.588282406487573,0.64887049191576,0.782393864335576,0.731002964653946,0.916549884259637,0.763375865011573,0.643211540184479,0.69521647363201,0.602164445625724,0.655675654752065,0.655636373566978,0.645405253102407,0.643642974335671,0.64664526972081,0.696623549249751,0.597619213266592
"acc6",0.871730475993153,0.825798876673362,0.705569488104815,0.692333379939477,0.812589905371483,0.63821009283166,0.586377399468827,0.650989659293725,0.597135037286034,0.670016876895508,0.682427510278811,0.688316465139124,0.636128734760489,0.602614049570982,0.708189652858412,0.723314555130706,0.636248309985474,0.670499287753391,0.768171673786378,0.678651530092635,0.694025530752513,0.834033102721005,0.641019485974302,0.611939094806116,0.723969920123975,0.584350856958816,0.692534671435384,0.636891948623229,0.686094079488635,0.620256634496321,0.626222257170746,0.703559983986196,0.754453911424021,0.691055275009811,0.684932586229329,0.71842850074581,0.71593961323647,0.692873049072368,0.856418932874222,0.586110993803504
"acc7",0.904001752420391,0.859720298286116,0.683699338292974,0.69007389167093,0.811267820686536,0.59243342245845,0.636460024212448,0.61746512299942,0.605723130017289,0.684331992720744,0.691787813360043,0.640519134118806,0.621699713993306,0.634032533632178,0.709872785587306,0.546077557065774,0.818572069659359,0.710485965220193,0.666639998178988,0.774135907137677,0.654039258391682,0.666172176172554,0.608955049063716,0.637933823227079,0.645218885240738,0.64664526972081,0.696623549249751,0.597619213266592,0.665773304082729,0.580327901892001,0.64887049191576,0.782393864335576,0.731002964653946,0.916549884259637,0.763375865011573,0.643211540184479,0.69521647363201,0.602164445625724,0.655675654752065,0.655636373566978
"acc8",0.898672279561,0.733364956400138,0.846174500449613,0.827718886090343,0.628353030287459,0.703360042122805,0.71004415483474,0.634199648919174,0.676236386073246,0.818829737930628,0.733243588196651,0.548645080606633,0.699978580740743,0.553659575099015,0.64120465406247,0.696238734366951,0.745764701126595,0.623091358210987,0.60685459877608,0.732926747540207,0.739428362390979,0.61089657101937,0.636635195789279,0.710157413857987,0.709881402091916,0.692873049072368,0.856418932874222,0.586110993803504,0.62109312670551,0.724044917929867,0.584350856958816,0.692534671435384,0.636891948623229,0.686094079488635,0.620256634496321,0.626222257170746,0.703559983986196,0.754453911424021,0.691055275009811,0.684932586229329
"acc9",0.868867362694335,0.768016657871935,0.768659288893397,0.60457707750171,0.772892877305772,0.670379434301637,0.68600796267143,0.617828867868273,0.675523061784722,0.735697203219737,0.58822643738971,0.632197288846996,0.67552584872578,0.676067344182523,0.679480353893829,0.646204546535302,0.63505205035808,0.597138253344399,0.633420883881942,0.713816149201019,0.574001398775067,0.994591214780149,0.76931106901439,0.67340166450913,0.789362352463251,0.602164445625724,0.655675654752065,0.655636373566978,0.645405253102407,0.643642974335671,0.64664526972081,0.696623549249751,0.597619213266592,0.665773304082729,0.580327901892001,0.64887049191576,0.782393864335576,0.731002964653946,0.916549884259637,0.763375865011573
"acc10",1.02458178996758,0.703849245764517,0.78326259122325,0.695427057550726,0.699768996728964,0.627893847244675,0.586389592749721,0.769057132688185,0.724664387209434,0.60478690903243,0.636760131853786,0.717352609056387,0.653718014963233,0.677482764827859,0.771506949237033,0.690201975877654,0.569884708796654,0.672593999745068,0.550801274784152,0.691244848257597,0.695264290336906,0.725965102389122,0.648877705361952,0.625381670571257,0.729809977071292,0.754453911424021,0.691055275009811,0.684932586229329,0.71842850074581,0.71593961323647,0.692873049072368,0.856418932874222,0.586110993803504,0.62109312670551,0.724044917929867,0.584350856958816,0.692534671435384,0.636891948623229,0.686094079488635,0.620256634496321
